id|tier|batch|status|source|locator|title|first_task|blocker
AIM-C10|A|B04|OPEN_IN_SOURCE|CHIP|Question 10|Critical-group deletion-contraction|Compute the actual minor maps, Smith forms and group-algebra kernels; start with the triangle obstruction in notes.|Coefficient field and algebra-map convention matter; tree-count addition alone gives no group exact sequence.
AIM-C17|B|B04|OPEN_IN_SOURCE|CHIP|Question 17|Higher-cell critical configurations|Construct support-indexed integral chain and Laplacian quotients on a specified finite complex.|Prove the representative rule and compare it with existing higher-dimensional definitions.
AIM-C18|B|B04|OPEN_IN_SOURCE|CHIP|Question 18|Higher-cell generating functions|Keep torsion weights and degrees in the same coefficient module; compare with the arithmetic Tutte specialization.|A polynomial identity requires a map that transports the actual weights.
AIM-C19|B|B04|OPEN_IN_SOURCE|CHIP|Question 19|Cross-dimensional chip firing|Write the coupled update operators and compute commutators on actual cell-state modules.|Supply an abelianity proof for the chosen legal-firing relation.
AIM-C21|C|B04|OPEN_IN_SOURCE|CHIP|Question 21|Cell-complex Riemann-Roch|Recover the existing graph construction through explicit restriction before defining a higher-cell comparison.|Canonical divisor, rank and duality maps need construction and comparison with later literature.
AIM-S21|A|B06|OPEN_IN_SOURCE|SPECTRUM|Section 2 Question 1|Characteristic-coefficient maps|Keep every permitted matrix entry as a variable; compute coefficient-map fibres, Jacobians and finite jets.|No coordinate setting-to-one without a displayed diagonal-conjugation map and its domain.
AIM-S22|B|B06|OPEN_IN_SOURCE|SPECTRUM|Section 2 Question 2|Determinant and immanant maps|Compare indexed permutation sums through the specified character-weight evaluation maps.|Boolean support records term presence; it does not determine signed nonvanishing.
AIM-S23|B|B06|OPEN_IN_SOURCE|SPECTRUM|Section 2 Question 3|Partial spectral arbitrariness|Construct exact coefficient projections for the chosen beta constraints and compute obstruction ideals.|Restricted coefficient surjectivity must be compared with the original target, not substituted for it.
OPG-LATIN|B|B06|OPEN_IN_SOURCE|LATIN|Even vs odd Latin squares|Latin-square parity|Retain the free module on labelled squares; evaluate row and column signs only at the final map.|Nonempty support leaves the signed coefficient capable of cancellation.
OPG-AJT|B|B06|OPEN_IN_SOURCE|AJT|Nowhere-zero point|Alon-Jaeger-Tarsi residual fields|Use the group-ring comparison and the explicit coordinate product; verify residual small-prime instances exactly.|Remove fields covered by Nagy-Pach and later work before selecting unsolved scopes.
OPG-PERM|B|B06|OPEN_IN_SOURCE|PERMANENT|Kahn and Yu variants|Permanent submatrix selection|Store column provenance, enumerate selections and compute exact permanents over the specified field.|Audit the 2026 permanent-rank literature; do not confuse different permanent conjectures.
OPG-ATB|B|B06|OPEN_IN_SOURCE|ATB|Basis conjecture and strengthened variant|Alon-Tarsi basis selection|Build the labelled coefficient-selection map with residual-column determinant retained.|The strengthened and original targets require separate statement comparisons.
OPG-TREES|B|B07|OPEN_IN_SOURCE|TREES|Minimal prescribed tree count|Graphs with prescribed tree count|Certify a catalogue of graph constructions using reduced Laplacian determinants and explicit composition laws.|Finite catalogues alone do not prove the requested asymptotic bound.
G38|B|B07|OPEN_IN_SOURCE|GREEN|Problem 38|Capacity of C7|Use the identity map from words in F7^n to strong-product vertices; retain exact independent-set witnesses and Gram certificates.|Need a bound or construction uniform across tensor powers for the capacity endpoint.
G83|C|B08|OPEN_IN_SOURCE|GREEN|Problem 83|Inverse Fourier-L1 structure|Specify the Fourier evaluation map and compute kernels of the chosen finite moment truncations.|A finite moment description needs a quantitative structural inverse on the original class.
G84-MERIT|B|B08|OPEN_IN_SOURCE|GREEN|Problem 84 comments; Golay variant|Merit-factor variant|Compute full aperiodic autocorrelation vectors and their exact fourth-moment identity.|The main flat-polynomial problem is solved; retain only the separately stated merit-factor question.
G92-TRACE|B|B08|OPEN_IN_SOURCE|GREEN|Problem 92 main question|Trace reconstruction|Construct the deletion-law-to-mean-polynomial map and its jet quotients; search for quantitatively small images.|Injectivity of the finite mean map does not provide a uniform sample bound.
G92-DECK|A|B08|OPEN_IN_SOURCE|GREEN|Problem 92 k-deck variant|Binary subsequence decks|Enumerate actual word fibres of the subsequence-count map, then compute its linear kernel with labels retained.|A general linear relation in the kernel is not automatically the difference of two source words.
G97|C|B11|OPEN_IN_SOURCE|GREEN|Problem 97 remaining refinements|Queen-count refinements|Keep all row, column and diagonal constraints in the coefficient state sum; reproduce known leading terms.|Do not rerun the already settled logarithmic asymptotic as an open target.
K3-1.31a|A|B05|OPEN_IN_SOURCE|K3|Problem 1.31(a)|Torus-knot Khovanov homology|Choose a bounded braid family; retain integral differentials and torsion through every comparison and reduction.|Exact bounded computations must extend to a proved all-parameter formula for the full problem.
K3-1.31b|A|B05|OPEN_IN_SOURCE|K3|Problem 1.31(b)|Torus-knot gl(N) homology|Specify N and the actual complex; retain filtration differentials and comparison-kernel representatives.|Known triply graded results cannot replace the requested target without the spectral-sequence maps.
K3-1.35a|C|B05|OPEN_IN_SOURCE|K3|Problem 1.35(a)|Integral symplectic comparison|Construct the integral comparison on a bounded family and compute kernel and cokernel before rationalization.|An integral chain comparison with orientations and torsion remains the main obligation.
K3-1.35b|C|B05|OPEN_IN_SOURCE|K3|Problem 1.35(b)|Odd symplectic construction|Write the source complexes, signs and proposed odd differential with explicit comparison maps.|Construction and invariant independence need proof, not a change of coefficient labels.
K3-1.24a|C|B10|OPEN_IN_SOURCE|K3|Problem 1.24(a)|Jones unknot-detection question|Keep the graded complex and the exact Euler-characteristic evaluation map; inspect realizable fibres.|A knot-realizability argument is needed for any algebraic element of the evaluation kernel.
K3-1.25b|C|B10|OPEN_IN_SOURCE|K3|Problem 1.25(b)|AJ specialization|Preserve the recurrence module, specialization ideal and exceptional factors throughout the comparison.|Construct the actual map to the character-variety object and prove the required equality.
K3-1.32|C|B05|OPEN_IN_SOURCE|K3|Problem 1.32|Gauge-theoretic knot comparison|Specify the boundary-value complexes and candidate chain maps on a controlled example.|Analytic domains, compactness, boundary terms and comparison estimates need proofs.
OQP13|B|B09|OPEN_IN_SOURCE|MUB|Problem 13; dimension six scope|Mutually unbiased bases|Write the full complex Gram constraints and Jacobian on the original frame coordinates.|A certificate for a restricted ansatz does not quantify over every frame; record the inclusion map.
OQP23-1|B|B09|OPEN_IN_SOURCE|SIC|Problem 23 variant 1|SIC existence|Retain vector coordinates and the exact Gram map; test and certify bounded-dimensional realizations.|All-dimensional existence needs a uniform construction; keep separate from covariance restrictions.
OQP23-3|C|B09|OPEN_IN_SOURCE|SIC|Problem 23 variant 3|Zauner symmetry variant|Write the covariance and eigenvector subspace inclusions explicitly; compare their images in the full Gram variety.|Surjectivity or an existence construction inside that image remains to be established.
OQP38|B|B09|OPEN_IN_SOURCE|PPT|Problem 38|PPT composition|Use the Choi map and actual composition contraction; retain exact positivity and separability witnesses in a selected family.|Known low-dimensional and finite-iterate results do not identify arbitrary two-map composition.
TOPP28|B|B10|OPEN_IN_SOURCE|TOPP28|Problem 28|Geometric 3D flip graph|Build realizable rational point configurations and exact bistellar-move chain matrices.|Preserve general position and geometric realizability; abstract complexes require a realization map.
G15-E193|C|B11|OPEN_IN_SOURCE|GREEN|Problem 15; reported Erdos 193 crosslink|Bounded-step progression avoidance|Encode finite words and prohibited additive relations in a boundary-state diagram.|Finite compatible words need a proved infinite extension; verify the cross-list statement map.
G63-E424|C|B11|OPEN_IN_SOURCE|GREEN|Problem 63; reported Erdos 424 crosslink|Hofstadter closure density|Store expression-tree provenance for the actual ab-minus-one operation and compare with integer evaluation.|Expression multiplicity does not supply density of distinct values; verify the cross-list statement map.
